"","Biospecimen","Organ","Diagnosis","Assays","hasBoth"
"23","HTA11_6025_2000001011","Not Reported","Not Reported","scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, MxIF, MxIF, MxIF, MxIF, H&E, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA",TRUE
"24","HTA11_6134_2000001011","Not Reported","Not Reported","scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, MxIF, H&E, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium",TRUE
"25","HTA11_6147_2000001011","Not Reported","Not Reported","scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, MxIF, H&E, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA",TRUE
"26","HTA11_6310_2000001011","Not Reported","Not Reported","scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, MxIF, MxIF, MxIF, MxIF, H&E, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA",TRUE
"27","HTA11_696_2000001011","Not Reported","Not Reported","scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, MxIF, H&E, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA",TRUE
"28","HTA11_7663_2000001011","Not Reported","Not Reported","scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium",TRUE
"29","HTA11_7862_2000001011","Not Reported","Not Reported","scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium",TRUE
"30","HTA11_83_2000001011","Not Reported","Not Reported","scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, MxIF, MxIF, MxIF, H&E",TRUE
"31","HTA11_8622_2000001011","Not Reported","Not Reported","scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium",TRUE
"32","HTA11_8622_2000001021","Not Reported","Not Reported","scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium",TRUE
"33","HTA11_866_2000001011","Not Reported","Not Reported","scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, scRNA-seq, MxIF, MxIF, H&E, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA",TRUE
"34","HTA11_9999991971_1971","Not Reported","Not Reported","scRNA-seq, scRNA-seq, scRNA-seq, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium",TRUE
"35","HTA11_9999991972_1972","Not Reported","Not Reported","Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium",TRUE
"36","HTA11_9999991973_1973","Not Reported","Not Reported","scRNA-seq, scRNA-seq, scRNA-seq, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium",TRUE
"37","HTA11_9999991974_1974","Not Reported","Not Reported","Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium",TRUE
"38","HTA11_99999930884_84602","Not Reported","Not Reported","Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium",TRUE
"39","HTA11_99999933430_84221","Not Reported","Not Reported","Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium",TRUE
"40","HTA11_99999954273_84216","Not Reported","Not Reported","Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium, 10x Visium",TRUE
