"","Biospecimen","Organ","Diagnosis","Assays","hasBoth"
"82","HTA6_1086_1","Breast NOS","Ductal carcinoma in situ NOS","Bulk DNA, Bulk DNA, H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq",TRUE
"83","HTA6_1089_1","Breast NOS","Ductal carcinoma in situ NOS","Bulk DNA, Bulk DNA, H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk DNA, Bulk DNA",TRUE
"84","HTA6_1092_1","Breast NOS","Ductal carcinoma in situ NOS","Bulk DNA, Bulk DNA, H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq",TRUE
"85","HTA6_1095_1","Breast NOS","Ductal carcinoma in situ NOS","Bulk DNA, Bulk DNA, H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq",TRUE
"86","HTA6_1098_1","Breast NOS","Ductal carcinoma in situ NOS","Bulk DNA, Bulk DNA, H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk DNA, Bulk DNA",TRUE
"87","HTA6_1098_2","Breast NOS","Ductal carcinoma in situ NOS","Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq",TRUE
"88","HTA6_1102_1","Breast NOS","Ductal carcinoma in situ NOS","Bulk DNA, Bulk DNA, H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq",TRUE
"89","HTA6_1118_101","Breast NOS","Ductal carcinoma in situ NOS","H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq",TRUE
"90","HTA6_1127_1","Breast NOS","Ductal carcinoma in situ NOS","Bulk DNA, Bulk DNA, Bulk DNA, Bulk DNA, H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq",TRUE
"91","HTA6_1133_1","Breast NOS","Ductal carcinoma in situ NOS","Bulk DNA, Bulk DNA, H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq",TRUE
"92","HTA6_1134_1","Breast NOS","Ductal carcinoma in situ NOS","Bulk DNA, Bulk DNA, H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq",TRUE
"93","HTA6_1135_1","Breast NOS","Ductal carcinoma in situ NOS","Bulk DNA, Bulk DNA, H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk DNA, Bulk DNA",TRUE
"94","HTA6_1136_1","Breast NOS","Ductal carcinoma in situ NOS","Bulk DNA, Bulk DNA, H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk DNA, Bulk DNA",TRUE
"95","HTA6_1151_1","Breast NOS","Ductal carcinoma in situ NOS","Bulk DNA, Bulk DNA, H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq",TRUE
"96","HTA6_1152_1","Breast NOS","Ductal carcinoma in situ NOS","Bulk DNA, Bulk DNA, H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq",TRUE
"97","HTA6_1159_1","Breast NOS","Ductal carcinoma in situ NOS","Bulk DNA, Bulk DNA, H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq",TRUE
"98","HTA6_1160_1","Breast NOS","Ductal carcinoma in situ NOS","Bulk DNA, Bulk DNA, H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq",TRUE
"99","HTA6_1164_1","Breast NOS","Ductal carcinoma in situ NOS","Bulk DNA, Bulk DNA, H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq",TRUE
"100","HTA6_1165_1","Breast NOS","Ductal carcinoma in situ NOS","Bulk DNA, Bulk DNA, H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq",TRUE
"101","HTA6_1166_1","Breast NOS","Ductal carcinoma in situ NOS","Bulk DNA, Bulk DNA, H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq",TRUE
"102","HTA6_2020_113","Breast NOS","Ductal carcinoma in situ NOS","H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq",TRUE
"103","HTA6_2020_198","Breast NOS","Ductal carcinoma in situ NOS","H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq",TRUE
"104","HTA6_2023_102","Breast NOS","Ductal carcinoma in situ NOS","H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq",TRUE
"105","HTA6_2029_103","Breast NOS","Ductal carcinoma in situ NOS","H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq",TRUE
"106","HTA6_2038_139","Breast NOS","Ductal carcinoma in situ NOS","H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq",TRUE
"107","HTA6_2048_131","Breast NOS","Ductal carcinoma in situ NOS","H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq",TRUE
"108","HTA6_2055_156","Breast NOS","Ductal carcinoma in situ NOS","H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq",TRUE
"109","HTA6_2071_155","Breast NOS","Ductal carcinoma in situ NOS","Bulk DNA, Bulk DNA, H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk DNA, Bulk DNA",TRUE
"110","HTA6_2074_136","Breast NOS","Ductal carcinoma in situ NOS","H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq",TRUE
"111","HTA6_2077_150","Breast NOS","Ductal carcinoma in situ NOS","Bulk DNA, Bulk DNA, H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk DNA, Bulk DNA",TRUE
"112","HTA6_2078_112","Breast NOS","Ductal carcinoma in situ NOS","H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq",TRUE
"113","HTA6_2129_1","Breast NOS","Ductal carcinoma in situ NOS","Bulk DNA, Bulk DNA, H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk DNA, Bulk DNA",TRUE
"114","HTA6_2130_1","Breast NOS","Ductal carcinoma in situ NOS","H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq",TRUE
"115","HTA6_2350_1","Breast NOS","Ductal carcinoma in situ NOS","H&E, MIBI, Imaging, Imaging, Imaging, Imaging, Imaging, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq, Bulk RNA-seq",TRUE
